Make,Model,Platform / generation number,European / World classification,Production years,American classification,Model Years (US/Canada),Country of origin,Sold in Europe,Sold in North America,Sold in India,Units produced,Notes
CAR MODELS LIST - Worldwide version,,,,,,,,,,,,
Kia,Mohave / Borrego,1st gen HM,Large SUV,2008-2019,Full-size SUV,MY 2009-2011,South Korea,no,America,no,,Sold in North America and China as Kia Borrego
Kia,Mohave,2nd gen HM2,Large SUV,2019-____,,,South Korea,no,no,no,,
Kia,Telluride,-,Large SUV,2019-____,Full-size SUV,MY 2020-____,South Korea,no,America,no,,
Kia,Bongo,1st gen,Pickup truck,1980-1994,,,South Korea,no,no,no,,
Kia,Bongo,2nd gen,Pickup truck,1990-1997,,,South Korea,no,no,no,,
Kia,Bongo Frontier,3rd gen,Pickup truck,1997-2004,,,South Korea,no,no,no,,
Kia,Bongo,4th gen,Pickup truck,2005-____,,,South Korea,no,no,no,,
Kia,BestA,-,Van,1990-1997,,,South Korea,no,no,no,,
Kia,Pregio,-,Van,1995-2006,,,South Korea,no,no,no,,
Volkswagen,Fusca,-,Economic car,"?-1986, 1993-1996",,,Brazil,no,no,no,,
Volkswagen,Gol,G1,Small car,1980-1994,,,Brazil,no,no,no,,
Volkswagen,Gol,"G2, G3, G4",Small car,1994-2013,,,Brazil,no,no,no,,
Volkswagen,Gol,G5,Small car,2008-____,,,Brazil,no,no,no,,
Volkswagen,Voyage / Fox,G1,Small car,1983-1994,Subcompact car,MY 1987-1993,Brazil,no,America,no,,Sold in North America as Volkswagen Fox
Volkswagen,Voyage,G5,Small car,2008-____,,,Brazil,no,no,no,,
Volkswagen,Parati,G1,Small car,1982-1994,,,Brazil,no,no,no,,
Volkswagen,Parati,G2,Small car,1994-1999,,,Brazil,no,no,no,,
Volkswagen,Fox,-,Small car,2003-____,,,Brazil,no,no,no,,"Sold in Mexico as Volkswagen Lupo, due to the last name of then current President Vicente Fox."
Volkswagen,Virtus (Polo Sedan),-,Small car,2019-____,,,Brazil,no,no,no,,
Volkswagen,Brasilia,-,Compact car,1973-1982,,,Brazil,no,no,no,,
Volkswagen,Apollo,-,Compact car,1990-1992,,,Brazil,no,no,no,,Rebadged Ford Verona
Volkswagen,Logus,-,Compact car,1993-1997,,,Brazil,no,no,no,,
Volkswagen,Pointer,-,Compact car,1994-1996,,,Brazil,no,no,no,,
Volkswagen,Santana / Corsar,-,Medium car,1984-2006,,,Brazil,no,no,no,,Sold in Mexico as Volkswagen Corsar
Volkswagen,Quantum,-,Medium car,1985-2002,,,Brazil,no,no,no,,
Volkswagen,Carat,-,Medium car,1987-1991,,,Argentina,no,no,no,,
Volkswagen,SP2,-,Sports car,1972-1976,,,Brazil,no,no,no,10205,
Volkswagen,SpaceFox / Suran / SportVan / Fox Plus,-,Small MPV,2006-2019,,,Brazil,no,no,no,,"Sold in Brazil and Peru as SpaceFox, in Argentina, Chile, Uruguay as Suran, in Mexico as SportVan and in Algeria as Fox Plus"
Volkswagen,T1 Kombi,-,Large MPV,1957-1975,,,Brazil,no,no,no,,Name for Volkswagen Transporter sold in Brazil
Volkswagen,T2 Kombi,-,Large MPV,1976-2013,,,Brazil,no,no,no,,Name for Volkswagen Transporter sold in Brazil
Volkswagen,Nivus,-,Small crossover,2020-____,,,Brazil,no,no,no,,Volkswagen Taigo in Europe
Volkswagen,Saveiro,G1,Coup� utility,1983-1994,,,Brazil,no,no,no,,
Volkswagen,Saveiro,G5,Coup� utility,2008-____,,,Brazil,no,no,no,,
,,,,,,,,,,,,
