RAGIONE SOCIALE,"RICAVI 2021 
(000 eur)","VAR. 21/20 
(%)","RISULT. 2021 
(000 eur)"
SORGENIA PUGLIA S.P.A.,212729,"41,2",17507
ECO ERIDANIA SOCIETA’ PER AZIONI,209206,"15,1",25738
GORI S.P.A.,208840,"3,4",13468
ENERGY-TRADE S.P.A. ,208708,n.d.,2278
SINERGIE ITALIANE S.R.L. ,199724,87,-18851
TOSCANA ENERGIA S.P.A.,199205,"1,4",40552
AMIAT S.P.A.,198963,"4,8",15840
BANCO ENERGIA S.P.A.,198654,"102,6",483
C.V.A. S.P.A.,198316,"40,4",112325
RETIAMBIENTE S.P.A.,196264,n.d.,29
SGR SERVIZI S.P.A.,195560,"36,3",9721
ENERCOM S.R.L.,194812,"69,1",7089
INTERZERO ITALY S.R.L.,194672,"165,6",807
GELSIA S.R.L.,194355,"29,2",-900
CO.MET.FER. S.P.A.,191303,89,4539
ENEL HYDRO APPENNINO CENTRALE S.R.L.,189567,269,130647
SOCIETA’ ENIPOWER FERRARA S.R.L.,186797,"112,6",10531
EDISON NEXT S.P.A,186722,7,-2255
ECO TRADE S.R.L.,185770,"127,4",1560
ECONORD S.P.A.,185620,"0,3",10696
SERVIZI ECOLOGICI INTEGRATI TOSCANA SRL,182517,4,-7975
TEA ENERGIA S.R.L.,181325,"31,6",4150
SIMECOM S.R.L.,180936,"51,3",4457
A.M.I.U.GENOVA S.P.A.,174535,"11,3",746
FONTEL S.P.A.,171562,"48,6",4216
SET S.P.A.,169495,140,673
SICIM SOCIETA’ PER AZIONI,167862,"-3,2",5555
CICLAT TRASPORTI AMBIENTE SC,166374,"11,6",298
GLOBAL POWER S.P.A.,166346,"-17,7",-977
ALPERIA SUM SRL,160794,"34,3",726
+ ENERGIA S.P.A.,160339,"50,7",4432
ACEA S.P.A.,160125,"5,2",177040
ACQUE S.P.A.,158437,"-2,9",26317
AMIACQUE SRL,157337,"8,7",2737
ETRA S.P.A.,155562,"5,2",8560
RODA METALLI S.R.L.,150376,"100,6",3184
FRI-EL ACERRA – S.R.L.,150333,"50,6",41587
BAYWA R.E. ENERGY TRADING S.R.L.,149800,"314,4",-2319
ITALFERRO S.R.L.,146129,"56,4",4143
HERAMBIENTE SERVIZI IND. S.R.L.,143172,"15,3",3911
PROMETEO – S.P.A.,141697,31,1166
IREN ACQUA SOCIETA’ PER AZIONI,141041,"2,7",36687
ERION WEEE,140262,"62,1",31613
GIRO SOCIETA’ CONSORTILE PER AZIONI,140098,"37,9",42
GEOENERGIE S.P.A.,139974,"140,8",-1926
RETE S.R.L.,138770,n.d.,58135
CONSORZIO RECUPERO VETRO (COREVE),137708,"48,4",32490
ROTTAMI METALLI ITALIA S.P.A. ,136442,"68,1",1832
APRICA S.P.A.,132310,"3,1",-2603
ARGOS S.P.A.,129073,"48,3",2140
ACQUALATINA S.P.A.,128355,"24,7",9320
NWG ENERGIA S.P.A. SOCIETA’ BENEFIT,124951,"30,6",851
MARCHE MULTISERVIZI SPA,124065,"4,9",13520
UNIACQUE S.P.A.,123967,"5,9",19095
MEDITERRANEA ENERGIA AMBIENTE S.P.A. ,123336,"8,3",3714
