"PRENOTAZIONE","NINGRESSO","Titolo","Autore ","Casa editrice","Disponibilità","CDD","ABBREVIAZ","SOGGETTO","ISBN","PAGINE","LUOGOEDIZ","COLLANA","ULTIMOAGG","ANNO_ED","PROGRESSIVO"
,"U00002","Diavolo al ponte lungo, Il","Bacchelli, Riccardo","Mondadori","LIBRO DISPONIBILE","853.9","BAC",,," 407","Milano","Gli Oscar, 24",23/09/2002,"1965",2
,"U00003","Bella estate, La","Pavese, Cesare","Mondadori","LIBRO DISPONIBILE","853.9","PAV",,," 289","Milano","Gli Oscar, 28",23/09/2002,"1965",3
,"U00004","Buio e il miele, Il","Arpino, Giovanni","Rizzoli","LIBRO DISPONIBILE","853.9","ARP",,," 154","Milano",,23/09/2002,"1980",4
,"U00005","Mondo piccolo. Il compagno don Camillo","Guareschi, Giovanni","Rizzoli","LIBRO DISPONIBILE","853.9","GUA",,," 222","Milano","BUR",23/09/2002,"1977",5
,"U00006","Male oscuro, Il","Berto, Giuseppe","Rizzoli","LIBRO DISPONIBILE","853.9","BER",,," 415","Milano","BUR",22/08/2002,"1979",6
,"U00007","Cosa buffa, La","Berto, Giuseppe","Rizzoli","LIBRO DISPONIBILE","853.9","BER",,," 347","Milano","BUR",22/08/2002,"1980",7
,"U00008","Miglior vita, La","Tomizza, Fulvio","Rizzoli","LIBRO DISPONIBILE","853.9","TOM",,," 276","Milano","BUR",25/08/2002,"1979",8
,"U00009","Dolce compagna, La","Castellaneta, Carlo","Rizzoli","LIBRO DISPONIBILE","853.9","CAS",,," 159","Milano","BUR",22/08/2002,"1980",9
,"U00010","Intervista con la storia","Fallaci, Oriana","Rizzoli","LIBRO DISPONIBILE","320.9","FAL","1.Uomini politici-Interviste",," 390","Milano",,22/08/2002,"1974",10
,"U00011","Borgia, I","Gervaso, Roberto","Rizzoli","LIBRO DISPONIBILE","945","GER","1.Borgia (famiglia)",," 389","Milano","BUR, 368",23/08/2002,"1980",11
,"U00012","Casanova","Gervaso, Roberto","Rizzoli","LIBRO DISPONIBILE","940.209 2","GER","1.Casanova, Giacomo-Biografia",," 378","Milano","BUR, 225",23/08/2002,"1978",12
,"U00013","Cagliostro","Gervaso, Roberto","Rizzoli","LIBRO DISPONIBILE","133.092","GER","1.Cagliostro, Alessandro, conte di",," 249","Milano","BUR",23/08/2002,"1980",13
,"U00015","Califfa, La","Bevilacqua, Alberto","Rizzoli","LIBRO DISPONIBILE","853.9","BEV",,," 230","Milano","BUR",22/08/2002,"1979",15
,"U00017","Allegoria e derisione. Una storia italiana, III","Pratolini, Vasco","Mondadori","LIBRO DISPONIBILE","853.9","PRA",,," 620","Milano","Opere di Vasco Prato",24/08/2002,"1966",17
,"U00018","Lettere della Resistenza europea. A cura di Giovanni Pirelli","AA.VV.","Einaudi","LIBRO DISPONIBILE","940.53","LET","1.Resistenza-Europa-Testimonianze",," 344","Torino","Letture per la scuola media, 14",19/09/2002,"1969",18
,"U00022","Pretore di Cuvio, Il","Chiara, Piero","Mondadori","LIBRO DISPONIBILE","853.9","CHI",,," 155","Milano","Oscar narrativa, 683",22/08/2002,"1979",22
,"U00023","Rischio nucleare. Anche scienza e tecnica devono prendere la parola, Il, /di/ Marco Botturi /e altri/","AA.VV.","Jaca Book","LIBRO DISPONIBILE","621.48","RIS","1.Centrali nucleari-Saggi, 2.Energia nucleare-Produzione-Saggi",," 217","Milano","Di fronte e attraverso. Pocket, 42",14/09/2002,"1979",23
,"U00024","Lucrezia Borgia","Bellonci, Maria","Mondadori","LIBRO DISPONIBILE","945.060 92","BEL","1.Borgia, Lucrezia",," 562","Milano","Oscar narrativa, 106",22/08/2002,"1979",24
,"U00025","Tu vipera gentile","Bellonci, Maria","Mondadori","LIBRO DISPONIBILE","853.9","BEL",,," 297","Milano","Oscar narrativa, 668",22/08/2002,"1979",25
,"U00026","Segreti dei Gonzaga","Bellonci, Maria","Mondadori","LIBRO DISPONIBILE","853.9","BEL",,," 355","Milano","Oscar narrativa, 828",22/08/2002,"1979",26
,"U00027","Gisella","Cassola, Carlo","Rizzoli","LIBRO DISPONIBILE","853.9","CAS",,," 200","Milano","BUR",22/08/2002,"1978",27
,"U00028","Tredicesima legione","Magrì, Rosario","Massimo","LIBRO DISPONIBILE","853.9","MAG",,," 286","Milano","Verdi anni, 23",23/09/2002,"1965",28
,"U00029","Mondo piccolo. Don Camillo","Guareschi, Giovanni","Rizzoli","LIBRO DISPONIBILE","853.9","GUA",,," 359","Milano","BUR",23/08/2002,"1980",29
,"U00030","Canne al vento","Deledda, Grazia","Mondadori","LIBRO DISPONIBILE","853.9","DEL",,," 261","Milano","Oscar narrativa, 94",22/08/2002,"1979",30
,"U00031","Factum est","Testori, Giovanni","Rizzoli","LIBRO DISPONIBILE","852.9","TES",,,"  93","Milano",,25/08/2002,"1981",31
,"U00033","Satyricon, /di/ Petronio","Petronius Arbiter","Rizzoli","LIBRO DISPONIBILE","873.01","PET",,," 417","Milano","BUR, L322",07/09/2002,"1981",33
,"U00034","Gramsci","Lajolo, Laurana","Rizzoli","LIBRO DISPONIBILE","335.4","LAJ","1.Gramsci, Antonio",," 222","Milano","BUR",23/08/2002,"1981",34
,"U00035","Vita violenta, Una","Pasolini, Pier Paolo","Einaudi","LIBRO DISPONIBILE","853.9","PAS",,," 308","Torino","Gli Struzzi, 200",24/08/2002,"1979",35
,"U00036","Giorno della civetta, Il","Sciascia, Leonardo","Einaudi","LIBRO DISPONIBILE","853.9","SCI",,," 136","Torino","Letture per la scuola media, 21",23/09/2002,"1972",36
,"U00037","Conformista, Il","Moravia, Alberto","Bompiani","LIBRO DISPONIBILE","853.9","MOR",,," 289","Milano","Tasscabili Bompiani,",24/08/2002,"1981",37
,"U00038","AAA","Stevenson, Robert Louis","Rizzoli","LIBRO DISPONIBILE","823.8","STE",,," 260","Milano","BUR",01/09/2002,"1978",38
,"U00039","Nostro agente all'Avana, Il","Greene, Graham","Mondadori","LIBRO DISPONIBILE","823.9","GRE",,," 286","Milano","Gli Oscar, 14",25/08/2002,"1965",39
,"U00040","Jules e Jim","Roché, Henri Pierre","Mondadori","LIBRO DISPONIBILE","843.9","ROC",,," 201","Milano","Gli Oscar, 15",01/09/2002,"1965",40
,"U00041","Filo del rasoio, Il","Maugham, William Somerset","Mondadori","LIBRO DISPONIBILE","823.9","MAU",,," 335","Milano","Gli Oscar, 16",05/09/2002,"1965",41
,"U00042","Amante dell'Orsa Maggiore, L'","Piasecki, Sergiusz","Mondadori","LIBRO DISPONIBILE","891.8","PIA",,," 393","Milano","Gli Oscar, 25",01/09/2002,"1965",42
,"U00043","Signora Miniver, La","Struther, Jan","Mondadori","LIBRO DISPONIBILE","823.9","STR",,," 257","Milano","Gli Oscar, 27",01/09/2002,"1965",43
,"U00044","Diario di un curato di campagna","Bernanos, Georges","Mondadori","LIBRO DISPONIBILE","843.9","BER",,," 272","Milano","Gli Oscar, 29",06/09/2002,"1965",44
,"U00045","Niente di nuovo sul fronte occidentale","Remarque, Erich Maria","Mondadori","LIBRO DISPONIBILE","833.9","REM",,," 237","Milano","Gli Oscar, 30",01/09/2002,"1965",45
,"U00046","Amante di Lady Chatterley, L'","Lawrence, David Herbert","Mondadori","LIBRO DISPONIBILE","823.9","LAW",,," 389","Milano","Gli Oscar, 51",05/09/2002,"1966",46
,"U00047","Delitto, Un","Bernanos, Georges","Mondadori","LIBRO DISPONIBILE","843.9","BER",,," 248","Milano","Gli Oscar, 61",23/09/2002,"1966",47
,"U00048","Dottor Sax, Il","Kerouac, Jack","Mondadori","LIBRO DISPONIBILE","813.5","KER",,," 260","Milano","Oscar narrativa, 734",23/09/2002,"1979",48
,"U00049","Giungla d'asfalto, La","Burnett, William Riley","Mondadori","LIBRO DISPONIBILE","813.5","BUR",,," 241","Milano","Gli Oscar, 23",23/09/2002,"1965",49
,"U00050","Che ve ne sembra dell'America?","Saroyan, William","Mondadori","LIBRO DISPONIBILE","813.5","SAR",,," 343","Milano","Gli Oscar, 20",23/09/2002,"1965",50
,"U00051","AA","Mau","Garzanti","LIBRO DISPONIBILE","843.8","MAU",,," 328","Milano","I grandi libri, 13",05/09/2002,"1965",51
,"U00052","Di là dal fiume e tra gli alberi","Hemingway, Ernest","Mondadori","LIBRO DISPONIBILE","813.5","HEM",,," 362","Milano","Medusa serie '80, 23",23/09/2002,"1981",52
,"U00053","Angelica e l'amore del re","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,53
,"U00054","Angelica alla corte del re","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,54
,"U00055","Angelica e il giustiziato di notre","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,55
,"U00056","Angelica e il nuovo mondo","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,56
,"U00057","Angelica l'indomabile","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,57
,"U00058","Angelica si ribella","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,58
,"U00059","Angelica schiava d'oriente","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,59
,"U00060","Angelica la marchesa degli angeli","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,60
,"U00061","Angelica alla guerra","anne, serge golon",,"LIBRO DISPONIBILE",,,,,"   0",,,,,61
,"U00062","Ragazzi nei lager","Monchieri, Lino",,"LIBRO DISPONIBILE",,,,,"   0",,,,,62
,"U00063","AAA","Goon, Anne - Goon, Serge","Garzanti","LIBRO DISPONIBILE","843.9","GOL",,," 328","MIlano","Garzanti per tutti, 23",05/09/2002,"1965",63
,"U00064","Quattrocento giorni intorno al mondo","Fogar, Ambrogio","Rizzoli","LIBRO DISPONIBILE","910.4","FOG","1.Viaggi di circumnavigazione-1973-1974-Diari e memorie",," 231","Milano","BUR, 300",22/08/2002,"1979",64
,"U00065","Eutanasia di un amore","Saviane, Giorgio","Rizzoli","LIBRO DISPONIBILE","853.9","SAV",,," 210","Milano","BUR",25/08/2002,"1980",65
,"U00066","Veder l'erba dalla parte delle radici","Lajolo, Davide","Rizzoli","LIBRO DISPONIBILE","853.9","LAJ",,," 227","Milano","BUR",23/08/2002,"1977",66
,"U00067","Poesia russa contemporanea","AA.VV.","Dall'Oglio","LIBRO DISPONIBILE","891.714","POE","1.Poesia russa-Sec. XX- Antologie",," 177","Milano","I Corvi, 161",26/08/2002,"1967",67
,"U00069","Anime morte, Le","Gogol, Nikolaj Vasil'evic","Garzanti","LIBRO DISPONIBILE","891.733","GOG",,," 359","Milano","I Garzanti, 13",05/09/2002,"1979",69
,"U00070","AAA","Mau","Mondadori","LIBRO DISPONIBILE","843.8","MAU",,," 223","Milano","Gli Oscar, 19",05/09/2002,"1965",70
,"U00071","Dama dei garofani, La","Cronin, Archibald Joseph","Bompiani","LIBRO DISPONIBILE","823.9","CRO",,," 264","Milano","Opere di Cronin, 5",29/09/2002,"1978",71
,"U00075","Sonata a Kreutzer, La","Tolstoj, Lev Nikolaevic","Rizzoli","LIBRO DISPONIBILE","891.733","TOL",,," 151","Milano","BUR",01/09/2002,"1980",75
,"U00076","Tutte le poesie. Vol. 2","Garcia Lorca, Federico","Garzanti","LIBRO DISPONIBILE","861.6","GAR",,,"1076","Milano","I Garzanti, 121",28/09/2002,"1979",76
,"U00078","Antologia di Spoon River","Masters, Edgar Lee","Eianudi","LIBRO DISPONIBILE","811.5","MAS",,," 256","Torino","Gli Struzzi, 13",05/09/2002,"1971",78
,"U00079","Piacere, Il","D'Annunzio, Gabriele","Mondadori","LIBRO DISPONIBILE","853.9","DAN",,," 355","Milano","Gli Oscar, 10",22/08/2002,"1965",79
,"U00080","Signora delle camelie, La","Dumas, Alexandre, Fils","Mondadori","LIBRO DISPONIBILE","843.8","DUM",,," 226","Milano","Oscar narrativa, 1379",05/09/2002,"1981",80
,"U00081","Mastro don Gesualdo","Verga, Giovanni","Rizzoli","LIBRO DISPONIBILE","853.8","VER",,," 378","Milano","BUR",25/08/2002,"1979",81
,"U00082","Novelle, Le, vol. 1","Verga, Giovanni","Garzanti","LIBRO DISPONIBILE","853.8","VER",,," 475","Milano","I Garzanti, 250",01/09/2002,"1980",82
,"U00084","Orgoglio e pregiudizio","Austen, Jane","Mondadori","LIBRO DISPONIBILE","823.7","AUS",,," 340","Milano","Gli Oscar, 12",05/09/2002,"1965",84
,"U00085","Nausea, La","Sartrer, Jean Paul","Mondadori","LIBRO DISPONIBILE","843.9","SAR",,," 252","Milano","Gli Oscar, 3",01/09/2002,"1965",85
,"U00086","Addio alle armi","Hemingway, Ernest","Mondadori","LIBRO DISPONIBILE","813.5","HEM",,," 287","Milano","Gli Oscar, 1",01/09/2002,"1965",86
,"U00087","Pista degli elefanti, La","Standish, Robert","Rizzoli","LIBRO DISPONIBILE","823.9","STA",,," 340","Milano","BUR",01/09/2002,"1980",87
,"U00088","Crack del 79, Il","Erdman, Paul E.","Mondadori","LIBRO DISPONIBILE","813.5","ERD",,," 315","Milano","BUR",05/09/2002,"1978",88
,"U00090","Ponte sul fiume Kwai, Il","Boulle, Pierre","Mondadori","LIBRO DISPONIBILE","843.9","BOU",,," 218","MIlano","Gli Oscar, 11",06/09/2002,"1965",90
,"U00092","Ragazzo negro","Wright, Richard","Mondadori","LIBRO DISPONIBILE","813.5","WRI",,," 334","Milano","Gli Oscar, 8",26/08/2002,"1965",92
,"U00093","Topkapi","Ambler, Eric","Mondadori","LIBRO DISPONIBILE","823.9","AMB",,," 270","Milano","Gli Oscar, 7",06/09/2002,"1965",93
,"U00094","Anime morte, Le","Gogol, Nikolaj Vasil'evic","Mondadori","LIBRO DISPONIBILE","891.733","GOG",,," 377","MIlano","Gli Oscar, 6",05/09/2002,"1965",94
,"U00095","Mille e una notte, Le","Anonimo, A Cura Di Emilio Faccio",,"LIBRO DISPONIBILE",,,,,"   0",,,,,95
,"U00096","Aspettando Godot","Beckett, Samuel","Einaudi","LIBRO DISPONIBILE","842.9","BEC",,," 111","Torino","Collezione di teatro, 57",06/09/2002,"1979",96
,"U00097","Madre Courage e i suoi figli","Brecht, Bertolt","Eianudi","LIBRO DISPONIBILE","832.9","BRE",,," 110","Torino","Collezione di teatro, 26",06/09/2002,"1979",97
,"U00098","Tre sorelle","Cehov, Anton Pavlovic","Einaudi","LIBRO DISPONIBILE","891.723","CEH",,,"  93","Torino","Collezione di teatro, 40",05/09/2002,"1978",98
,"U00099","Antonio e Cleopatra","Shakespeare, William","Einaudi","LIBRO DISPONIBILE","822.3","SHA",,," 132","Torino","Collezine di teatro, 17",01/09/2002,"1976",99
,"U00100","Rinoceronte, Il","Ionesco, Eugene","Einaudi","LIBRO DISPONIBILE","842.9","ION",,," 129","Torino","Collezione di teatro, 58",21/09/2002,"1977",100
,"U00101","Uno, nessuno e centomila","Pirandello, Luigi","Mondadori","LIBRO DISPONIBILE","853.9","PIR",,," 224","Milano","Oscar narrativa, 99",24/08/2002,"1981",101
,"U00102","Liolà, Così è (se vi pare)","Pirandello, Luigi","Mondadori","LIBRO DISPONIBILE","852.9","PIR",,," 214","Milano","Oscar poesia e teatr",24/08/2002,"1981",102
,"U00103","Segreto di Luca, Il","Silone, Ignazio","Mondadori","LIBRO DISPONIBILE","853.9","SIL",,," 198","Milano","Oscar narrativa, 91",25/08/2002,"1981",103
,"U00104","Uomo che fu giovedì, L'","Chesterton, Gilbert Keith","Rizzoli","LIBRO DISPONIBILE","823.9","CHE",,," 193","Milano","BUR",05/09/2002,"1975",104
,"U00105","Talpa, La","Le Carrè, John","Rizzoli","LIBRO DISPONIBILE","823.9","LEC",,," 358","Milano","BUR",05/09/2002,"1980",105
,"U00106","Tenente del diavolo, Il","Fagyas, Maria","Rizzoli","LIBRO DISPONIBILE","813.5","FAG",,," 429","Milano","BUR",05/09/2002,"1979",106
,"U00107","Piccolo grande uomo, Il","Berger, Thomas","Rizzoli","LIBRO DISPONIBILE","813.5","BER",,," 549","Milano","BUR",06/09/2002,"1977",107
,"U00108","Valle dell'Orso, La","Adams, Richard","Rizzoli","LIBRO DISPONIBILE","823.9","ADA",,," 413","Milano","BUR",05/09/2002,"1980",108
,"U00109","Tra bistori e forbici","Majocchi, Andrea","Garzanti","LIBRO DISPONIBILE","610.92","MAJ",,," 281","Milano",,24/08/2002,"1945",109
,"U00110","Nostalgia fra le rovine","Majocchi, Andrea","Garzanti","LIBRO DISPONIBILE","610.92","MAJ","1.Moscati, Bernardino",," 372","Milano","Vita vissuta",24/08/2002,"1950",110
,"U00111","Vita di chirurgo","Majocchi, Andrea","Garzanti","LIBRO DISPONIBILE","610.92","MAJ","1.Majocchi, Andrea",," 328","Milano","Vita vissuta",24/08/2002,"1948",111
,"U00112","Organizzazione Bianco. Missione spciale in Liguria (1944)","Accini, Liberto","Mursia","LIBRO DISPONIBILE","940.53","ACC","1.Resistenza-Liguria-1944-Diari e memorie",," 243","Milano",,23/09/2002,"1969",112
,"U00113","A che punto è la notte","Fruttero, Carlo - Lucentini, Franco","CDE","LIBRO DISPONIBILE","853.9","FRU",,," 602","Milano",,22/08/2002,"1979",113
,"U00114","Donna della domenica, La","Fruttero, Carlo - Lucentini, Franco","CDE","LIBRO DISPONIBILE","853.9","FRU",,," 503","Milano",,22/08/2002,"1972",114
,"U00115","Sogni di gloria","Soavi, Giorgio","Rizzoli","LIBRO DISPONIBILE","853.9","SOA",,," 131","Milano","La Scala",24/08/2002,"1980",115
,"U00116","Carrozza di rame, La","Sgorlon, Carlo","CDE","LIBRO DISPONIBILE","853.9","SGO",,," 352","Milano",,25/08/2002,"1979",116
,"U00117","Morte a Venezia, La","Mann, Thomas","Rizzoli","LIBRO DISPONIBILE","833.9","MAN",,," 114","Milano","BUR",05/09/2002,"1980",117
,"U00118","Tabù: la vera storia dei sopravvissuti delle Ande","Read, Piers Paul","Rizzoli","LIBRO DISPONIBILE","363","REA","1.Incidenti aerei-Ande-1972, 2.Antropofagia",," 356","Milano","BUR",01/09/2002,"1979",118
,"U00120","Ragazze di madame Liang, Le","Buck, Pearl B.","Rizzoli","LIBRO DISPONIBILE","813.5","BUC",,," 250","Milano","BUR",06/09/2002,"1979",120
,"U00121","Spia che venne dal freddo, La","Le Carrè, John","Rizzoi","LIBRO DISPONIBILE","823.9","LEC",,," 298","Milano","BUR",05/09/2002,"1980",121
,"U00122","Radici","Haley, Alex","Rizzoli","LIBRO DISPONIBILE","813.5","HAL",,," 595","Milano","BUR",01/09/2002,"1980",122
,"U00123","Dialogo dei massimi sistemi","Landolfi, Tommaso","Rizzoli","LIBRO DISPONIBILE","853.9","LAN",,," 155","Milano","Opere di Tommaso Lan",23/08/2002,"1975",123
,"U00124","E tu lo sai?","Biagi, Enzo","Rizzoli","LIBRO DISPONIBILE","085","BIA",,," 250","Milano",,22/08/2002,"1978",124
,"U00125","Primavera di Cosroe, La","Citati, Pietro","Rizzoli","LIBRO DISPONIBILE","853.9","CIT",,," 153","Milano","La Scala",22/08/2002,"1977",125
,"U00126","Monsignore","Leger, Jack-Alain","Rizzoli","LIBRO DISPONIBILE","843.9","LEG",,," 355","MIlano","La Scala",05/09/2002,"1976",126
,"U00127","Vizio assurdo. Dramma e dibattito, Il","Fabbri, Diego - Lajolo, Davide","Rizzoli","LIBRO DISPONIBILE","852.9","FAB",,," 183","Milano",,23/09/2002,"1974",127
,"U00129","Adua","Tugnoli, Giuseppe","Rizzoli","LIBRO DISPONIBILE","853.9","TUG",,," 353","Milano","La Scala",25/08/2002,"1978",129
,"U00130","Delitti per un anno","Del Buono, Oreste","Rizzoli","LIBRO DISPONIBILE","853.9","DEL",,," 202","Milano","La Scala",22/08/2002,"1975",130
,"U00131","Dialoghi, I, /di/ Luciano","Lucianus","Rizzoli","LIBRO DISPONIBILE","888.01","LUC",,," 213","Milano","BUR, 780",24/08/2002,"1990",131
,"U00132","Al sole di settembre","Tugnoli, Giuseppe","Rizzoli","LIBRO DISPONIBILE","853.9","TUG",,," 254","Milano","La Scala",25/08/2002,"1979",132
,"U00133","Testo del racconto, Il","Gramigna, Giuliano","Rizzoli","LIBRO DISPONIBILE","853.9","GRA",,," 167","Milano","La Scala",23/08/2002,"1975",133
,"U00135","Dono di Humboldt, Il","Bellow, Saul","Rizzoli","LIBRO DISPONIBILE","813.5","BEL",,," 483","Milano","La Scala",06/09/2002,"1977",135
,"U00136","Carriera di Pimlico, La","Cancogni, Manlio","Rizzoli","LIBRO DISPONIBILE","853.9","CAN",,," 130","Milano","La Scala",22/08/2002,"1974",136
,"U00137","Indignazione, L'","Bevilacqua, Alberto","Rizzoli","LIBRO DISPONIBILE","851.9","BEV",,," 187","Milano","La Scala",26/08/2002,"1973",137
,"U00138","Carissimo cane","Wambaugh, Joseph","Rizzoli","LIBRO DISPONIBILE","813.5","WAM",,," 319","Milano","La Scala",25/08/2002,"1979",138
,"U00139","Soluzione sette per cento, La","Meyer, Nicholas","Rizzoli","LIBRO DISPONIBILE","813.5","MEY",,," 213","Milano","Romanzi italiani e stranieri",01/09/2002,"1977",139
,"U00142","Circo, Il","Maclean, Alistair","CDE","LIBRO DISPONIBILE","823.9","MAC",,," 225","Milano",,05/09/2002,"1976",142
,"U00143","AAA","Str","Longanesi & C.","LIBRO DISPONIBILE","942.050 92","STR","1.Elisabetta (regina d'Inghilterra), 1",," 332","Milano","Il Cammeo, 15",01/09/2002,"1981",143
,"U00144","Battaglie decisive della seconda guerra mondiale","Jacobsen, H. A. - Rohwe, J.","Baldini & Castoldi","LIBRO DISPONIBILE","940.53","JAC","1.Guerra mondiale 1939-1945-Battaglie",," 675","Milano",,19/09/2002,"1974",144
,"U00145","Fine del generale Custer come la raccontano gli Indiano, La","Miller, David Humphreys","Rizzoli","LIBRO DISPONIBILE","973","MIL","1.Battaglia del Little Big Horn.1876",," 245","Milano",,01/09/2002,"1966",145
,"U00146","Dono di Humboldt, Il","Bellow, Saul","Rizzoli","LIBRO DISPONIBILE","813.5","BEL",,," 483","Milano","La Scala",06/09/2002,"1977",146
,"U00147","Signore degli anelli, Il","j.r.r., tolkien",,"LIBRO DISPONIBILE",,,,,"   0",,,,,147
,"U00148","Trama dei sogni, La","Simmel, Johannes Mario","Rizzoli","LIBRO DISPONIBILE","833.9","SIM",,," 535","Milano","La Scala",01/09/2002,"1978",148
,"U00149","Rose del ventennio, Le","Fusco, Carlo","Rizzoli","LIBRO DISPONIBILE","945.091","FUS","1.Fascismo-Italia",," 160","Milano",,22/08/2002,"1974",149
,"U00150","Spada, La","Landolfi, Tommaso","Rizzoli","LIBRO DISPONIBILE","853.9","LAN",,," 142","Milano","Opere di Tommaso Lan",23/08/2002,"1976",150
,"U00151","Signora Teresa, La","Mosca, Giovanni","Rizzoli","LIBRO DISPONIBILE","858.9","MOS",,," 236","Milano",,24/08/2002,"1977",151
,"U00152","Gabbiano jonathan livingston, Il","Bach, Richard",,"LIBRO DISPONIBILE",,,,,"   0",,,,,152
,"U00153","Capitani coraggiosi","kipling, Rudyard","Rizzoli","LIBRO DISPONIBILE","R H","KIP",,,"249","Milano","BUR",,"1975",153
,"U00155","Orzowei","Manzi, Alberto","Bompiani","LIBRO DISPONIBILE","R 853.9","MAN",,,"231","Milano",,,"1961",155
,"U00156","Giornalino di Gian Burrasca, Il","Vamba","Rizzoli","LIBRO DISPONIBILE","R  I","VAM",,," 359","Milano","BUR",20/03/2003,"1980",156
,"U00157","Zanna Bianca","London, Jack","Rizzoli","LIBRO DISPONIBILE","R  H","LON",,," 273","Milano","La BUR dei ragazzi",20/03/2003,"1979",157
,"U00159","Isola del tesoro, L'","Stevenson, Robert Louis","Rizzoli","LIBRO DISPONIBILE","823.8","STE",,," 284","Milano","BUR",29/05/2003,"1980",159
,"U00160","Milione, Il","Polo, Marco","Rizzoli","LIBRO DISPONIBILE","950","POL",,," 505","Milano","BUR",24/08/2002,"1981",160
,"U00163","Due favole portoghesi","Mello Breyner Andresen, Sophia","Stampatori","LIBRO DISPONIBILE","R  B","MEL",,,"   0","Torino",,02/11/2002,"1981",163
,"U00164","Tre moschettieri, I. Vol. 1","Dumas, Alexandre","Casini","LIBRO DISPONIBILE","R  H","DUM",,,"   0","Roma","I grandi maestri illustrati, 1",24/10/2002,"1953",164
,"U00165","Cinque settimane in pallone","Verne, Jules","Principato","LIBRO DISPONIBILE","R  H","VER",,,"   0","Milano-Messina",,26/10/2002,"1958",165
,"U00166","Libro delle leggende, Il","Mezzofanti, Laura","Fabbri","LIBRO DISPONIBILE","R  B","MEZ",,,"   0","Milano",,26/10/2002,"1980",166
,"U00170","Pollyanna","Porter, Eleanor Hodgman","La Sorgente","LIBRO DISPONIBILE","R  I","POR",,,"   0","Milano",,26/10/2002,"1980",170
,"U00171","Pattini d'argento","Dodge, Mapes",,"LIBRO DISPONIBILE",,,,,"   0",,,,,171
,"U00172","Tende nel deserto rosso","D'Arte, Marcella","La Sorgente","LIBRO DISPONIBILE","R  H","DAR",,,"   0","Milano",,02/11/2002,"1973",172
,"U00173","Tigre è ancora viva: Sandokan alla riscossa!, La","Salgari, Emilio","Edierre","LIBRO DISPONIBILE","R  H","SAL",,,"   0","Roma",,24/10/2002,"1977",173
,"U00174","Avventure di Alice nel paese delle meraviglie e attraverso lo specchio, Le, /di/ Lewis Carroll","Dodgson, Chales Ludwidge","Accademia","LIBRO DISPONIBILE","R  B","DOD",,,"   0","Milano",,24/10/2002,,174
,"U00176","Riccardo Cuor di Leone","Scott, Walter","Fabbri","LIBRO DISPONIBILE","R  G","SCO",,,"   0","Milano","Tuttavventura",24/10/2002,"1975",176
,"U00177","Dei e eroi della mitologia viching","Branston",,"LIBRO DISPONIBILE",,,,,"   0",,,,,177
,"U00178","Indiani maledetti indiani","Pieroni-gatteschi",,"LIBRO DISPONIBILE",,,,,"   0",,,,,178
,"U00179","Ivanhoe","Scott, Walter","Emme","LIBRO DISPONIBILE","R  G","SCO",,,"   0","Milano",,24/10/2002," 980",179
,"U00183","60 favolelli. Libera trascrizione di Maria Tibaldi Chiesa","Krylov, Ivan Andreevic","Pugliese","LIBRO DISPONIBILE","R  B","KRY",,,"   0","Firenze",,26/10/2002,"1975",183
,"U00184","Cile: ricerca della libert…","g.bufalari",,"LIBRO DISPONIBILE",,,,,"   0",,,,,184
,"U00185","Pontificare in San Marco","Elio, Bartolini","Rusconi","LIBRO DISPONIBILE","853.9","BAR",,," 172","Milano","Narrativa",22/08/2002,"1978",185
,"U00188","Giorni della nostra vita, I","Sereni, Marina","Il Milione","LIBRO DISPONIBILE","853.9","SER",,," 125","Roma",,03/10/2002,"1956",188
,"U00189","Nelle mani del nemico","Colombi, Arturo","La Rinascita","LIBRO DISPONIBILE","324.245 075 092","COL",,," 145","Roma",,21/09/2002,"1950",189
,"U00191","AAA","Chiara, Piero","CDE","LIBRO DISPONIBILE","853.9","CHI",,," 167","Milano",,22/08/2002,"1981",191
,"U00193","Folli muoiono, I","Puzo, Mario","CDE","LIBRO DISPONIBILE","813.5","PUZ",,," 602","Milano",,24/08/2002,"1978",193
,"U00196","Poesia contemporanea","Pento, Bortolo","Marzorati","LIBRO DISPONIBILE","851.9","PEN",,," 190","Milano",,26/08/2002,"1964",196
,"U00197","Ragazza di bube, La","Cassola, Carlo","Rizzoli","LIBRO DISPONIBILE","853.9","CAS",,," 259","Milano","BUR",22/08/2002,"9680",197
,"U00198","Taglio del bosco, Il","Cassola, Carlo","Rizzoli","LIBRO DISPONIBILE","853.9","CAS",,," 179","Milano","BUR",22/08/2002,"1980",198
,"U00200","Uomo di Nazareth: l'amor di Dio in parole povere, L'","Burgess, Anthony","Ed. Nuova","LIBRO DISPONIBILE","823.9","BUR",,," 445","Milano",,06/09/2002,"1979",200
