"PRENOTAZIONE","NINGRESSO","Titolo","Autore ","Casa editrice","Disponibilità","CDD","ABBREVIAZ","SOGGETTO","ISBN","PAGINE","LUOGOEDIZ","COLLANA","ULTIMOAGG","ANNO_ED","PROGRESSIVO"
,"U03735","Quattro pirati e mezzo","Mahy, Margaret","Mondadori","LIBRO DISPONIBILE","R  H","MAH",,,"   0","Milano","I miti junior, 12",02/11/2002,"1996",3735
,"U03736","Mago, Il","Le Guin, Ursula K.","Mondadori","LIBRO DISPONIBILE","R  E","GUI",,,"   0","Milano","Superjunior",19/10/2002,"1993",3736
,"U03737","Segreti fatali","Cusick, Richie Tankersley","Mondadori","LIBRO DISPONIBILE","R  D","CUS",,,"   0","Milano","Junior giallo",17/10/2002,"1995",3737
,"U03738","Nuova avventura, Una","Danby, Mary","Mursia","LIBRO DISPONIBILE","R 793","DAN",,,"1 V.","Milano","I fantastici cinque e tu",,"1989",3738
,"U03739","Ragazzi volanti, I","Denton, Derek","Mondadori","LIBRO DISPONIBILE","R  E","DEN",,,"   0","Milano","Superjunior",19/10/2002,"1995",3739
,"U03740","Verdi colline d'Africa","Hemingway, Ernest","Mondadori","LIBRO DISPONIBILE","813.5","HEM",,," 254","Milano","I Record, 1",01/09/2002,"1965",3740
,"U03741","Demian","Hesse, Hermann","Mondadori","LIBRO DISPONIBILE","833.9","HES",,," 212","Milano","Oscar narrativa",04/09/2002,"1992",3741
,"U03742","Festa del raccolto, La","Tryon, Thomas","CDE","LIBRO DISPONIBILE","813.5","TRY",,," 461","Milano","Un libro al mese, 11",01/09/2002,"1974",3742
,"U03743","Uomo due donne, Un","Rich, Meredith","Euroclub","LIBRO DISPONIBILE","813.5","RIC",,," 371","Milano",,01/09/2002,"1987",3743
,"U03744","AAA","Slaughter, Frank Gill","CDE","LIBRO DISPONIBILE","813.5","SLA",,," 358","Milano",,01/09/2002,"1973",3744
,"U03745","Pericolo medico","Slaughter, Frank Gill","Euroclub","LIBRO DISPONIBILE","813.5","SLA",,," 391","Milano",,25/08/2002,"1984",3745
,"U03746","Altro nome dell'amore, L'","McCullough, Colleen","Fabbri","LIBRO DISPONIBILE","823","MCC",,," 337","Milano",,01/09/2002,"1982",3746
,"U03747","Atti di fede","Segal, Erich","CDE","LIBRO DISPONIBILE","813.5","SEG",,," 490","Milano",,01/09/2002,"1992",3747
,"U03748","Grido degli Halidon, Il","Ludlum, Robert","Rizzoli","LIBRO DISPONIBILE","813.5","LUD",,," 391","Milano","La Scala",05/09/2002,"1996",3748
,"U03749","Giardino che brucia, Il","Plain, Belva","Euroclub","LIBRO DISPONIBILE","813.5","PLA",,," 447","Milano",,01/09/2002,"1984",3749
,"U03750","Sconosciuti in treno","Highsmith. Patricia","CDE","LIBRO DISPONIBILE","813.5","HIG",,," 253","Milano",,01/09/2002,"1978",3750
,"U03751","Regina della magia, La","Heddings,  david","Nord","LIBRO DISPONIBILE","813.5","EDD",,," 341","Milano","Narrativa",05/09/2002,"1987",3751
,"U03752","Psicopatologia della vita quotidiana","Freud, Sigmund","Newton Compton","LIBRO DISPONIBILE","150.19","FRE",,," 269","Roma","Paperbacks saggi, 34",09/09/2002,"1975",3752
