Title,Rating
Il cacciatore (1978),8.1
Il terzo uomo (1949),8.1
La battaglia di Hacksaw Ridge (2016),8.1
Vite vendute (1953),8.1
Memorie di un assassino (2003),8.1
La palla n° 13 (1924),8.1
Storie Pazzesche (2014),8.1
Mr. Smith va a Washington (1939),8.1
Mad Max: Fury Road (2015),8.1
Mary and Max (2009),8.1
Il settimo sigillo (1957),8.1
Dragon Trainer (2010),8.1
Monsters & Co. (2001),8.1
Lo squalo (1975),8.1
L'attimo fuggente (1989),8.1
Room (2015),8.1
Il grande Lebowski (1998),8.1
Viaggio a Tokyo (1953),8.1
La passione di Giovanna d'Arco (1928),8.1
Le Mans '66 - La grande sfida (2019),8
Hotel Rwanda (2004),8
Rocky (1976),8
Platoon (1986),8
Ratatouille (2007),8
Il caso Spotlight (2015),8
Logan - The Wolverine (2017),8
Terminator (1984),8
Stand by Me - Ricordo di un'estate (1986),8
Rush (2013),8
Quinto potere (1976),8
Prima del tramonto (2004),8
Into the Wild - Nelle terre selvagge (2007),8
Il mago di Oz (1939),8
I migliori anni della nostra vita (1946),8
Ricomincio da capo (1993),8
L'esorcista (1973),8
Gli Incredibili - Una 'normale' famiglia di supereroi (2004),8
Il lamento sul sentiero (1955),8
L'odio (1995),8
Vogliamo vivere! (1942),8
La maledizione della prima luna (2003),8
Hachiko - Il tuo migliore amico (2009),8
Furore (1940),8
La battaglia di Algeri (1966),8
Jai Bhim (2021),8
Mio padre e mio figlio (2005),8
Amores perros (2000),8
Rebecca - La prima moglie (1940),8
Nick mano fredda (1967),8
Mademoiselle (2016),8
I 400 colpi (1959),8
Tutti insieme appassionatamente (1965),8
Accadde una notte (1934),8
Persona (1966),8
Brian di Nazareth (1979),8
Il gigante di ferro (1999),8
The Help (2011),8
Dersu Uzala. il piccolo uomo delle grandi pianure (1975),8
Aladdin (1992),8
Balla coi lupi (1990),8.
